Вакансия,Город,Работадатель,Специальность,Зп. от,Зп. до,Тип занятости,Опыт
SMM менеджер,Екатеринбург,MANBOX,Производство рекламы,40000,80000,Удаленная работа,От 1 года до 3 лет
SMM менеджер,Москва,САФЕТИ,Производство рекламы,40000,50000,Полный день,Нет опыта
SMM менеджер,Санкт-Петербург,Гатрия,Производство рекламы,60000,85000,Полный день,От 1 года до 3 лет
SMM менеджер,Санкт-Петербург,Магазин Квартир,Производство рекламы,50000,80000,Полный день,От 3 до 6 лет
SMM менеджер,Якутск,Гамма,Производство рекламы,30000,60000,Полный день,От 1 года до 3 лет
SMM менеджер (креативный руководитель),Санкт-Петербург,VLASOVA LAB. - Сеть Студий Дизайна Взгляда,Производство рекламы,45000,65000,Полный день,От 1 года до 3 лет
SMM менеджер / Интернет-маркетолог,Челябинск,Автосервис Avtokat,Печатная реклама,40000,70000,Полный день,Нет опыта
SMM менеджер/контент менеджер,Уфа,ALLIGATOR MEDIA,Производство рекламы,20000,50000,Полный день,От 1 года до 3 лет
SMM специалист,Иваново,Компания CADesign,Производство рекламы,20000,30000,Полный день,Нет опыта
SMM специалист,Красноярск,Агентство digital-коммуникаций RUCOM,Производство рекламы,35000,65000,Полный день,От 1 года до 3 лет
